v1;v2
positive;"monitor the status of bikes. enter stations in the lorenteggio area.	"
positive;"A better bike maintenance service would be useful, too often you will find bicycles that do not work well. I also don't understand why the 5 minutes of waiting between one use and the other, it happened to me to realize that the taken bike had a problem (brakes not working, pedals broken) and to want to leave it at the next station and take another and in this case it is annoying to have to wait for another one	"
positive;"Very positive. Only notes: often the yellow bikes are not fully functional and the red bikes are empty. I would extend the time in the morning to before 7.00 am.	"
positive;"Increase maintenance	"
negative;"change bikes even after 10 minutes (when it is not working well) and report faults immediately	"
positive;"I do not understand how often electric bikes even if they are not available	"
positive;"being able to report inefficiencies (deflated wheels) via APP	"
positive;"Extend the service at least until 3 am	"
negative;"Resettitution or difficult withdrawal in Central Station despite the already numerous withdrawal stations	"
positive;"Good service	"
positive;"more maintenance on bikes	"
positive;"I would like to have a location near my home. It could be the Forlanini passer-by stop, I would definitely use it more.	"
positive;"It would be useful to be able to indicate which bikes have problems to allow maintenance. I found many electric discharges and therefore unmanageable during use	"
positive;"Yellow bicycles are not in good shape. To increase the number of red bicycles. Sometimes there are bikes at the station but the system does not allow you to take them. Everything else is fine	"
positive;"More attention to bicycle breakdowns	"
positive;"I would pay even more (50-60 euros a year) to have the security of finding a place in the most external stations (Brenta, Bonomelli, Via Brembo) late at night (from 8 pm to 11 pm) when I come home from work	"
positive;"The morning arrival times are always full (via bergognone)	"
negative;"For low people, the bikes are quite uncomfortable!	"
positive;"More stalls are needed in the center	"
negative;"Most of the time the bikes are damaged and especially the brakes work badly	"
positive;"Increase the withdrawal points in the east area of ​​the lambrate station, rogoredo, via asslli forlanini park Lambro	"
positive;"in the morning he cannot return the bike, recovery service too slow	"
positive;"delete the card as they did for the carsharing. Less unbalanced bikes on the front axle. Customer Care and reports via SMS and chat. Do not completely fill the stalls	"
negative;"The idea of ​​the service is good, unfortunately most of the time the bikes are broken or in bad condition which makes the circulation difficult as well as dangerous	"
negative;"Since bikes are often damaged and not perfectly functional, a non-paying service for reporting faults would be useful	"
negative;"Too bad there is no possibility of. To take out a subscription without a credit card but simply to put it on a current account, I simply haven't renewed it for this reason.	"
positive;"Good service. Assistance / maintenance of bicycles must be foreseen in the stalls in an efficient and intense manner	"
positive;"More stations and renewed batteries than electric ones	"
positive;"Given that I find the service very useful and very well organized, I believe that it is not correct to charge the cost (even if small) of electric bikes when these are deposited immediately after a few minutes after being discharged. I am referring to a specific case where I reported to the customer service of the malfunctioning of the bike but nevertheless I was charged for the service. I repeat it is not the figure but the principle. Thanks	"
positive;"increase maintenance of circumnavigating bikes and locations that are not always active	"
positive;"I suggest to ensure the functioning of the red bikes with assisted pedaling, essential to avoid ""strenuous"" pedaling due to the significant specific weight of the vehicle	"
positive;"Excellent but red bicycles are not very available. Furthermore they should also work towards the periphery	"
positive;"I have always used bikemi for any move. Having transferred the domicile to an area where there are no stations, I cannot use the service as I would like. I live in the Meda-Cermen area, I think an expansion of the service in more ""peripheral"" areas (which in reality are not) is fundamental, above all to allow the reaching of the subway stations in the shortest possible time.	"
positive;"improve maintenance to bikes with more controls, expand the service towards the periphery, make the occasional service payable with the card.	"
negative;"There are no parking spaces near Lambrate (Station).	"
negative;"I would like more attention to the state of the bikes, it often happens to me to find bikes with the gearbox that works badly or with the saddle hardly adjustable	"
negative;"In the last year I have almost never used the service: there are no stations very close to home, those nearby or are often empty or - unfortunately - always occupied by people who live in the little park and who dirty or damage bicycles. Near the office (via dante) the stops are inconvenient and in the morning without space to park, as well as being far from the reference number. At this point, given the journeys on foot that must still be made between racks etc, I arranged to go always and only on foot. Too bad because the service is very useful.	"
positive;"improve vehicle availability and maintenance (gearboxes and brakes in particular)	"
positive;"red bikes are too heavy	"
negative;"Bicycles are heavy and not very comfortable, they are often damaged with brakes that do not work or with rusted parts	"
negative;"In general I am satisfied with the service. To improve, I would extend the availability times of the bikes, both in the morning, at least from 6am and extend the evening. I often use the electric bike but I often find it difficult to find them because they are not available or are not working (the engine does not start). thanks	"
positive;"Check and adjust the gears	"
positive;"Greater maintenance	"
negative;"The stations near offices must be more equipped (see bergognone in front of deloitte). In the areas of Milan with the pavè it is difficult to go by bike, more cycle paths would be needed. Put child seats on!	"
positive;"improving station management are often full and others empty	"
negative;"Pave is a disadvantage. the bikes are tough	"
positive;"Perhaps, a further commitment to bicycle maintenance	"
positive;"excellent service	"
positive;"Great	"
positive;"For Saturday nights put the summer schedule back on !!	"
positive;"Enthusiastic! I hope to open the Piazza Arduino area station. To go to the center the nearest station is in Amendola about 10 minutes on foot	"
positive;"efficiency of service and efficiency of bicycles can be improved but overall positive judgment	"
positive;"happy to use bike is good for my health	"
positive;"I would like some racks in the piazza Udine lambrate area	"
negative;"A pity the closing times of the night. Maybe open at 6 in the morning instead of 7.	"
positive;"I would like new stations, especially the Udine-Lambrate area	"
positive;"Too much difficulty in finding a free stall to leave the bike, at certain times of the day certain stalls are always full or empty	"
positive;"Sometimes there are bicycles (both yellow and red) in poor condition: broken brakes, tires that are deflated, seats that slip. It is clearly not your fault but the uncivilized ones that use them but at this point a more frequent and careful maintenance is needed.	"
positive;"I am generally satisfied with the service. I would ask, however, that the number of stalls in the stations be extended as much as possible and that the bikes be moved as far as possible with the use of the truck, so as to easily find stalls available for return and bicycles available at the time of collection. at peak times. Thanks.	"
positive;"however little I use it, I have repeatedly found that the station malfunctions to pick up or hang up the bike and I do not understand why it is not usable when there are no public transport while it would be a useful way to move	"
positive;"Please improve the management of withdrawal points. It has happened several times or not to find a bike or not find enough parking spaces	"
positive;"the service works very well. It should be more extensive in peripheral areas.	"
positive;"The bike redistribution system in the city needs to be improved and increased. Too often I don't find bikes at 8.30-9.00 in the morning and at 18.00 in the evening	"
positive;"VERY OFTEN THE CYCLE PATHS ARE USED AS TEMPORARY PARKING MAKE MORE CHECKS	"
positive;"Lately bike marches work less / I would add even more rattles in the city / put a roof in every rack to protect the bikes and make sure they don't get ruined quickly	"
positive;"Expand the service with stalls along Via Venini (Piazza Morbegno, Via Martiri Oscuri) and at the corner between Via Palestrina and Andrea Doria (there is parking for cars). Improve bike maintenance. When giving someone a subscription, this person must be notified by you with an email: I have had problems with it. Thanks.	"
negative;"Allow rapid reporting of badly functioning bicycles	"
positive;"good! to improve maintenance of yellow bikes	"
positive;"I BELIEVE THE SERVICE AS IT IS NOW MORE THAN SATISFACTORY. IT WOULD BE DESIRABLE ONLY A GREATER CONTROL OF THE YELLOW BICYCLES WHICH IT IS OFTEN HAVE TO HAVE ALSO PROBLEMS IF IT IS MINOR.	"
negative;"at peak times and at critical points (trenord stations) there should be more bikes or increase the filling speed of the empty spaces	"
positive;"It would be really useful to take better care of every vehicle (pedaling, chain / crown, gearboxes)	"
negative;"There are many stations that crash, they are not out of order but they are full of bikes that are not available. I am referring to the 3 stations in the Piazza 24 May area, full of bikes in the morning but not all available. it is not possible that they are all broken, otherwise there is another type of problem, that there are too many non-functioning bikes. Furthermore CREATE A DIRECT NUMBER FOR BIKE MI. It is not possible to have to wait for so many steps to be able to talk to the call center. You really want to report anything.	"
positive;"it would be enough to lighten the bike and to hook and unhook the bike would be easier	"
negative;"I'm glad there is something like this because it's a step towards a vision of the city on a human scale and not a car (traffic weighs down the air and the morale of the citizens). Unfortunately, BikeMi cannot be considered a reliable service as there are 15% of cases where the racks are empty / full. often this disservice knows no remedy but to resign itself to arriving late. The overall evaluation is very much affected by the logistic non-reliability ..	"
positive;"Close to Virgin Active (City Studies) We Need A Station	"
positive;"It would be nice to have stations further south than Ripamonti-De Angeli	"
positive;"A) review the bikes, B) add stations	"
negative;"The app is not always updated in real time and does not correspond to reality. If there is a station that does not go momentarily, only you realize when you get there, a disgrace. It should have some way of communicating the disruption of a bike when you leave it	"
negative;"5-star customer service, verified in a couple of situations. The problem is the lack of cycle paths	"
positive;"very positive	"
negative;"I love bikemi madness and I could not live without it, but more attention is needed to yellow bikes because many are broken and when it is picked up and does not work it is a big problem because I use it to go to work. the red ones are sometimes discharged and therefore very heavy to carry. the rest is ok, but taking care of the bikes is very important because if the pedals are broken or the brakes or saddle is not up it is a big problem.	"
positive;"If there were not, it would have to be invented but the maintenance of the vehicles and the effective usability of the stations should be implemented	"
negative;"The service is a great idea, the bicycles are unfortunately heavy and from the ""wrong"" center of gravity: they often fall even when stationary, with a tripod. In other cities (for example Paris) bicycles are much more reliable.	"
negative;"I often found bikes with non-functioning brakes. I think there should be a system of failure reporting	"
positive;"Luckily I have tried the new bicycle models a few times and they are definitely uncomfortable. I think there is a design error because the saddle is too far forward and you have difficulty pedaling. I hope you realize this before increasing the number of bikes you buy	"
positive;"satisfied	"
positive;"The service is brilliant, very useful and beautiful. But the maintenance is PESSIMA, there are too many bikes put in a circle with problems !!! The new bikes do not allow you to see the green light when they reposition, in fact you don't even see where to put the two stops! Who is that brilliant that got the idea? the same one who placed the seats on the Sirio and Sirietto trams so you don't pass when the passengers are seated on both sides of the tram?	"
negative;"current bikes are too hard and light	"
positive;"Improving bike maintenance, sometimes it's difficult to pedal because the gearbox ""changes"" on its own	"
positive;"1) The bike park must be renewed periodically	"
positive;"more than a few stations do not correctly record the return of the bike, triggering costs and penalties	"
positive;"The general experience is very positive. The maintenance of yellow bikes can be improved but the situation is generally acceptable, the strategic movement of the bikes with vans must be improved to avoid full or empty stations. The advantage for traffic is much higher than the traffic generated by vans. The van drivers seem to have no attention to the maintenance of the bikes, a minimum of intervention in some cases could simplify, for example to inflate the deflated wheels or straighten the saddles (often wrongly inclined, pointing upwards) it would not be necessary to move the bike in the workshop	"
positive;"More stations, more stalls	"
positive;"I would suggest not completely filling a station as it has happened several times to return in the evening and not find stalls available! And please adjust the brakes I can't destroy the soles of shoes all the time !!	"
negative;"Yellow bikes are very heavy and often have a broken gearbox. The hooking / unhooking system is definitely inconvenient, if a person does not have enough strength in his arm he is very difficult. The racks are often either too empty or completely full. In that case all the advantage of using the bike is lost, if then you have to look for another station, maybe too far away! Finally (in reality it is a bit 'that does not happen to me, but it was a constant until I switched exclusively to red bikes), the first bike assigned always had a problem is having to change implies a waste of time. Especially annoying in the morning when you have to rush to work.	"
positive;"better maintenance of both bikes and stalls	"
positive;"More maintenance for bicycles	"
positive;"do more maintenance	"
positive;"raise awareness among motorists	"
positive;"improve maintenance	"
negative;"my consideration is that the yellow bikes have now become too dangerous because nothing works. Broken brakes, the bell does not ring, the insertion of the gears is difficult.	"
positive;"At present, the comfort of bicycles (in terms of weight of the vehicle and seat not sufficiently adjustable) is not such as to allow me to use it frequently. Also near my home (Via Antonini area) there are still no stalls.	"
negative;"Advertising covering wheel spokes is dangerous because it causes the vehicle to skid, especially in windy weather conditions	"
positive;"I would like there to be a way to feel some miscarriage of the bike in use (eg lights, brakes, etc.).	"
positive;"Better care for maintenance and other cycle paths	"
positive;"SUPPLY OF STATIONS IS NOT ALWAYS RATIONAL AS I FIND STATIONS COMPLETELY FULL OR FULLY EMPTY. OFTEN THERE ARE ONLY 3-4 BIKES IN THE RACK WHICH, HOWEVER, CANNOT BE TAKED IS IT IS BUILT TO PASS TO THE NEXT ROPE. I WILL BE MORE GIVING YOU TO PAY 40 EURO INSTEAD OF 36 BUT YOU CAN ALWAYS TAKE YOUR BIKE. DRESS IN THE BOTTOM VIA RIPAMONTI BUT THERE ARE NO BIKES, TRAM 24 IS STRACOLMO, THEREFORE IF YOU CAN PUT BIKE STATIONS IN VIA RIPAMONTI (VALDISOLE) ACCORDING TO ME, YOU'LL INCREASE THE NUMBER OF SEASON TICKETS. EVERYTHING HAS BEEN TAKEN INTO THE SERVICE, IN RELATION TO THE IRISOR PRICE IT WORKS ENOUGHLY GOOD FOR ME THAT I AM A SALTUARY USER.	"
negative;"Yellow bicycles are very heavy and not always in good condition	"
positive;"the service must be easier, the stations equipped better, absolutely yes to the seat for small children, there should be the possibility of marking a broken bicycle and for the abbnati to pre-lit the bicycle faster without waiting for minutes to recover one if it is defective. when they put the bikes back in their stalls, they are better off leaving a few free places, otherwise those who come to deliver it find it all busy in the area! more controls where there are no bikes and more island and cathedral stations	"
positive;"Increased bike and station maintenance. Inefficient bike attachment. It would be useful to be able to choose the bike to be taken based on the distance from the turret and seat height	"
positive;"It would be very useful to extend the time for using the bikes during the night. During the night and especially in the summer, the bicycle is the ideal way to get around.	"
positive;"problems finding bikes or free stalls in peak locations / times	"
positive;"Positive but more attention to the maintenance of the vehicles which is sometimes really insufficient	"
negative;"Red bikes are often missing or unloaded and cannot be replaced without repaying the rental.	"
positive;"too close to each other	"
negative;"Do not completely fill the racks when you reposition the bikes otherwise if you arrive after the bikemi pick-up there is no more space to attach the bike.	"
negative;"The pedal assisted bicycles often even if present in the parking lot are not recompressed by the system. The same, very often, do not work, they have low battery. Once taken it is not tolerable to have to wait 5 minutes to replace it with high probability that also the second one is not working.	"
positive;"We need a quick way to report the bicycle not working, like I take a picture of the number and send it or, maybe better, something to click on the totem during the redelivery	"
negative;"very heavy bikes, after the 21 empty parking lots, I change a nightmare	"
positive;"Great customer service, the bikes are a little heavy and uncomfortable, but I would recommend it	"
positive;"It would be useful to increase the stations in the Argonne-Fusina-Lomellina-Aselli area	"
negative;"A station is missing in the area of ​​Viale Monza	"
positive;"It would be good to repair traditional bikes more often.	"
positive;"great service, yellow bicycles often have problems.	"
positive;"I finish working late at night and it is very difficult to find a bike in the center. make new stations in the center! :)	"
negative;"These bicycles are very heavy and it's tiring to unhook it and hook it to the stall.	"
positive;"THAT THE STATIONS ARE INCREASED AND NEEDED MORE	"
positive;"make that with the delivery email you can respond with the status of the bike	"
positive;"extend the stations even to less central areas	"
positive;"More maintenance of stations outside the center	"
positive;"Allow 40 minutes of free use at the beginning .. and plan to be able to keep the bicycle more than two hours .. they are absolutely insufficient	"
positive;"On some occasions I had the need to use the BikeMI before the opening time. I do not understand the meaning of having an opening time on a service that does not require the personnel present.	"
negative;"Bikes should be lighter. the most accurate maintenance. more bike paths are needed, especially where there is no alternative to paved roads.	"
positive;"In the areas of greatest work flow (central Milan) and during peak times, there are often no bikes to pick up, nor parking available to leave the bike. You should be more efficient during these hours 08.30-9.30 and 17.30-18.30 and empty the parking spaces if they are full of bikes and add bikes if the parking lots are empty.	"
positive;"The service should be active 24 hours	"
positive;"Especially in the summer it can happen to not find bikes in the most peripheral stations and not to find free stalls in the more central ones: this type of control could be a little improved.	"
positive;"It is necessary to implement the stalls in the historic center and make the bike removal and loading system more efficient through operators: in the morning you cannot park, in the evening you do not find a bicycle within a radius of km	"
positive;"I often find delivery stations without stalls. there is a station in corso monforte that after 20 has no bikes available (although they are present in the stalls) the time of use should be at least 3 hours. The app is fantastic	"
negative;"There is no convenient procedure to report damage. I need to send an email and write the rental references.	"
negative;"bikes often broken in gear shifting	"
positive;"1) FREQUENTLY TESTED CHECKS FOR SAFETY - AVAILABILITY (FOR EXCELLENT LODGINGS I HAVE DIFFICULTLY FINDING RED-QUNDO BIKES OFTEN FINDS ARE DOWNLOADED (IT WOULD BE USEFUL TO BE RELEASED ONLY BY BICYCLE BICYCLES) - IT WOULD BE GOOD ALSO CLOSE TO VIA DEI PANIGAROLA (VIA DEI CINQUECENTO VIA GABRIO ROSA) FACT IN THE AREA P.LE CORVETTO YOU DON'T FIND US THERE IS A RACK AND THE RSA WHERE MY INVALID MOTHER IS LIVING IT IS LOCATED IN VIA DEI PANIGAROLA- THE SELLINI OF BIKE GIALLE ARE REMOVAL - THE INSTRUCTIONS FOR CLOSING THE BIKE CHAIN ​​ARE NOT CLEAR.	"
positive;"increase stations and cycle paths	"
positive;"To improve maintenance: bikes often have flat tires or the brakes do not work well	"
positive;"Good service, not supported by cycle paths	"
positive;"More control over the condition of the bikes. Improve App	"
positive;"I have no suggestions to give. I am fully satisfied	"
negative;"I like this service ... but often you find broken bikes and if you want to change it you have to wait for the time that someone who has to work doesn't have. In the evening in Cadorna it is hard to find an empty seat. Thanks	"
positive;"It would be advisable to give the user the possibility to ""choose"" the bicycle - It would be desirable to improve the bike repositioning service - Make sure that the discharged electric ones are not withdrawable (too often one realizes afterwards with double the fatigue.	"
positive;"The bikes are normally in good condition, the first generation of yellow bikes is giving clear signs of aging, often the gears do not work well, the brakes are not very reliable and the saddle is difficult to adjust for the rest the service is very good so keep it up	"
positive;"Try to increase the racks available at Milan Central and stations in general	"
positive;"overall positive!	"
negative;"there are no stations in the suburbs	"
positive;"often the station I use is out of service for both electric and traditional bikes and this has a lot to do with my time management	"
positive;"the Yellow bikes would have to be a little more controlled in terms of structure once I didn't have the brake and I fell	"
positive;"I couldn't find any bikes at the pick-up station to go to work. So I preferred the tram and canceled my subscription because it can't be a reliable vehicle. I will use it for leisure by paying the single Withdrawal.	"
negative;"The main problem remains the stations that are completely full in the center in the morning and completely empty after 18.00	"
positive;"I would like the service to be more extensive at night. I also wanted to point out that yellow bikes with red bike frames are very heavy and unwieldy.	"
positive;"the eBike is always out of charge .. please pay attention to the yellow bike tires. Thank you	"
positive;"red / electric bicycles often not loaded	"
negative;"Some considerations if they can be useful. I have many colleagues who are not subscribers because they would rarely use bikemi, if the price of the annual pass was slightly lower, or if there were consumption formulas or for infrequent use, more people who normally use other means of transport would be encouraged . Furthermore, there are still some areas of the city that are badly served by stalls, such as the area around the Garibaldi station, which is always very congested by cars. I would suggest a stall in Via Fratelli Castiglioni, near Esselunga, Piazza Gae Aulenti and the station. Or in the area between Porta Venezia and Città Studi.	"
positive;"You have to improve the management of the stations, when there is no place it is not convenient to look for another station when you have to go to work.	"
negative;"Regular problems when parking or picking-up the bikes: blocked slots on RED, full parking racks, etc.	"
positive;"Satisfied	"
negative;"it is difficult to use it since there are no stations in the stadium area	"
positive;"In July, maintenance on bicycles was really lacking: punctured wheels, electric bicycles unloaded, unscrewed seats, gearboxes that didn't work.	"
negative;"It would be important to be able to report the type of malfunction of a bike as most have some problems	"
positive;"In general I am satisfied. However, during the last month I happened several times not to find a place in the stalls in the evening hours, so I had to turn to find a place in other stalls.	"
positive;"need to put more stations to cover the city better and increase the service at night (at least on weekends). the rest is OK	"
positive;"more bike maintenance.	"
positive;"often I found the stalls without bicycles or not working	"
positive;"The new yellow / non-electric bikes you are replacing are a bit heavier and less comfortable ...	"
positive;"Please improve the gearbox maintenance, among all the components and the most sensitive and important after the brake. Unfortunately it is spent not usable so you find yourself doing all the way in one gear.	"
positive;"Spent in the morning, from Pagano station, I can't take a bike, it's not enough.	"
positive;"extension of cycle paths and n. of bike stations me	"
positive;"As a bad start, the stations should be upgraded, especially in the central hours. Customer service surprised me, very efficient	"
negative;"Few places to leave the bikes in the center, it would take an app to show the stations on the map and how to reach them	"
positive;"The cathedral station should be expanded, often at 9 am	"
positive;"Great	"
negative;"Always find the stations with bikes available to pick up and with the possibility to always leave them	"
negative;"difficult to find seats available at bikemi stations from the periphery to the center or vice versa	"
positive;"EXCELLENT SERVICE. SUGGEST YOU TO KEEP THE STATIONS OPEN ALL THE NIGHT, AS IT HAPPENS IN THE OTHER GREAT EUROPEAN CITIES	"
positive;"Yellow bikes too heavy. Juniors are too small for the middle range (9-13 years)	"
positive;"To improve bicycle maintenance and above all availability	"
negative;"Twice out of two I had problems leaving the bike and the intervention service intervened after days	"
negative;"missing rear-view mirror which also serves as a bicycle	"
positive;"I am very satisfied, the service is really efficient and comfortable. An added value to our city.	"
negative;"soo often broken bicycles, eg brakes, saddle, and are very heavy	"
positive;"in some locations bicycles are not always available	"
negative;"the bikes are heavy, I find it difficult to lift them to remove them and put them back in the rack. The last two times I took bikes, the brakes were either not working or very noisy. If there were safer streets in Milan with cycle paths I would use them. It is very dangerous to ride on the cobblestones and near the cars and the tram tracks.	"
positive;"More stations in the center	"
positive;"Sometimes the electrics don't work	"
positive;"Valid and effective service, I hope they last a long time and that people know how to maintain it without causing damage to bicycles when using them (I think that many think ""so much even if I break it is not mine"")	"
positive;"a great service, very convenient for commuters who choose to use the bicycle in the city. Unfortunately it is annoying to find the bicycles not working properly. Bicycles too heavy and unwieldy.	"
positive;"Many bikes do not work and I would prefer 24-hour service	"
positive;"My opinion is certainly positive, I appreciate the constantly expanding service, the only flaw in the maintenance situation ""DISASTROSA"" of bicycles !!!! thanks	"
positive;"It happened to me several times to give up the bikeMI because I was with friends without a subscription. It would be interesting to have the possibility of occasionally withdrawing more bikes together (perhaps with a discounted rate compared to the daily rental).	"
positive;"Great customer service, but I would have liked the service to be active 24/7. Very dissatisfied with the general state of the yellow bikes (often malfunctioning brakes and pedals)	"
positive;"Improve bike maintenance, especially check the filling / emptying of the racks in some critical points (for example off La Foppa)	"
positive;"the bikes are too heavy and the gearbox generally does not work	"
positive;"I consider the inclusion of bikes with child seats essential	"
positive;"Facilitate daily access	"
positive;"Better manage bicycle movements. At certain times the stations are completely devoid of vehicles or floods	"
positive;"it is a very good overall service, especially in a ""flat"" city and all in all contained as Milan. I would consider positive longer hours in the evening	"
positive;"It is essential to increase the number and distribution of parking spaces outside the 90-91 circle	"
negative;"Dear Sirs, I am enthusiastic about the use of bicycles in the city but: - assisted pedal bases have too many problems, sometimes loaded in a minimal way with the dangerousness of the roads, little culture for bike use. the bikes themselves are too heavy for detachment from the station - sometimes with problems of pedaling of tires flat of brakes etc ... it will make me cancel the subscription	"
positive;"Overall good service but the maintenance of the bicycles should be improved, some are poorly reduced. Another problem is that often there is no availability of stalls for redelivery in the most external stations, especially late at night. It would also be great to extend the duration of the 24 hour service.	"
negative;"I find the 3-speed gearbox is useless in a city like Milan (completely flat), I often find myself using yellow bikes with locked gears and I have a hard time pedaling. Propose bikes without gearboxes ?! thanks	"
positive;"valid, efficient and effective	"
negative;"The annual card has never arrived, despite numerous reminders. A great idea, but bad customer service. 6 out of 10 bikes I took were broken or malfunctioning. There are some stations where the bikes are never there, or vice versa, always full to be impossible to park, you have to go to another station far enough ... in short, there is to work	"
negative;"All right, some problems to leave the bike in very busy areas (eg Navigli), little coverage away from the center (eg Piazza Udine), I would add a feedback system to identify any bike with problems (I now know that informally tend to leave the saddle turned as a signal)	"
negative;"The bikes are very heavy, at the time of picking up and releasing the vehicle I encounter difficulties	"
positive;"Unfortunately the flaw in my case is related to the time of picking up the bikes. 7 o'clock in the morning, for those like me who go to the station to reach their place of work, it is too late. I think the time should start at six.	"
positive;"The bikes are not fantastic, but I understand ... I would increase the free ride to 60 minutes. I would charge more,	"
positive;"traditional bikes often don't work properly	"
negative;"The only flaw was to insert traditional bicycles but with the ""bodywork"" of electric bikes ... they are too heavy, very uncomfortable and too strenuous. Users always complain about those bikes.	"
positive;"Serve the suburbs more, where the metros are often distant and the means scarce or even non-existent	"
positive;"Expand capacity of crowded stations	"
positive;"Decrease the hourly price of the electric bike	"
positive;"Station in jerusalem square	"
negative;"I immediately adopted the service because I came from the Velib experience in Paris and from that I know the difference in not being able to choose the bike at the station and a very limited presence of stations	"
negative;"Too many accidents, too few tracks. Via the cars.	"
positive;"Many times, especially in the evening, it is quite difficult to find free stalls where you can leave your bike. In the evening relocation operations it would be advisable not to saturate the station but to leave free stalls. It would be very useful to be able to take and leave the bike 24 hours a day every day.	"
positive;"More stations in the Argonne area	"
negative;"a comment that I feel I can do, that often you find defective bikes	"
negative;"more maintenance, possibility to report to the stall a malfunction of the bike, more visible battery check, baskets also in the back, in case of bike malfunction and relative replacement also in other stalls to be able to do without waiting	"
positive;"IMPROVING THE MONITORING OF THE STATIONS, OFTEN I DO NOT FIND THE BIKE AT THE MORNING AT THE STATION OF SANT'AMBROGIO	"
negative;"missing fault reporting, suburban stations, improved availability of bikes / parking lots in critical stations, pumps at stations	"
negative;"Too often bicycles have problems, which you can only realize once on, so you are also forced to leave them at the nearest station. Among the most frequent problems: - brakes not working	"
negative;"With the years the yellow bikes are almost all broken. I took note for days of all the problems encountered and only 1 or 2 out of 10 work properly	"
positive;"Some discounts for the renewal of the subscription. The offers seem to me always and only for the new subscribers. In addition, a few more conventions for Bikemi subscribers who give discounts elsewhere.	"
positive;"Increase bike maintenance	"
positive;"make the yellow bikes easier by removing the gear and improving the maintenance	"
positive;"Free time must increase, 30 minutes for a city like Milan Nn makes sense	"
negative;"in the station of via Cassolo, sometimes the vehicle is missing	"
positive;"very satisfied	"
positive;"More maintenance on bicycles and if possible within 2/3 years a restyling to make them less heavy	"
negative;"the stalls are very uncomfortable. it becomes heavy type and raise bicycles especially the electric ones that I would like to take more often but they are heavy.	"
negative;"more bicycle maintenance is needed (wheels, gearbox, pedals) and there are often problems with the operation of the stations and the collection / return of bikes	"
negative;"Some stations are too isolated from the others, in case they are busy it is inconvenient to reach another free one	"
positive;"It would be useful if there were disposable objects (such as latex gloves) pet cover the seat and the end parts of the handlebar.	"
positive;"Prolong the hours at night	"
negative;"The main problem is leaving the bicycle. Sometimes it doesn't stick well and I happened to call the customer service that it has solved very well	"
negative;"Very often the yellow bicycles click (the chain) and it becomes very difficult to continue. Unfortunately we realize it too late when we have already started. Furthermore there are very few cycle paths, the scooters go on the cycle path and it becomes very dangerous, both to breathe the exhaust gases and for any accidents.	"
positive;"need to improve maintenance	"
positive;"In addition to what is specified in point 24, more maintenance on both bikes and stations (sometimes the bikes are not properly attached)	"
positive;"Further stations widening the radius of the city: for example over Loreto towards Sesto	"
positive;"Less heavy bikes	"
negative;"Too often there are problems returning the bike, or there are no stalls, or despite the correct signals, the station charges a few euros for ""non-return"". In some moments I even find myself charged for journeys never made, when in the meantime I have made others (therefore impossible, given that you cannot take two bikes at a time).	"
positive;"Very satisfied, if there were more cycle / connected and separated adl road it would be heaven	"
positive;"Add Stations along Viale Monza	"
positive;"it would be interesting to have advice of usual times where to place or deliver the bikes (eg avoid going to the center after 9 o'clock or not claiming a bike in the center after 10pm	"
positive;"Put a Bikemi station in Piazza Gambara	"
positive;"Please have more control over the gears and brakes	"
positive;"I'm quite satisfied	"
positive;"Very often yellow bicycles have flat tires or the brakes do not work.	"
positive;"I am very enthusiastic about the bikemi service, I come from a small provincial town and I have always been used to riding a bicycle even in winter with cold and rain. I would always like to use it even in Milan, too bad that it is really dangerous or complicated because there are no bike paths, paved roads / narrow streets and often you are forced to go on the sidewalk. In short, it seems that the city does everything possible to prevent you from using your bicycle, in the last few years (I have been living in Milan for 10 years) the situation has changed and certainly improved but there is still much to do. I would like Milan to become a day like Copenhagen because the size (it is a relatively small city) and the characteristics (all plain) would easily allow its citizens to move only by bike. Good luck for future projects and thanks for what has been done to date.	"
negative;"for me there is only one problem, it is that unfortunately there are often no electric bikes because they are all unloaded	"
positive;"overall positive even if the bikes are often damaged, but noticing after having taken them, it is necessary to wait 5 minutes before taking another one.	"
positive;"Excellent means	"
positive;"I would appreciate the possibility of replacing the card with the app.	"
positive;"The bikes are really too heavy and not very agile to use, the gearbox often doesn't work	"
positive;"This is a good service, to which I would add more bike lanes, and more stations, not even more decentralized areas.	"
negative;"Overall, I am satisfied with the limits stated above regarding the frequent lack of number of stalls (my reference station and that of via morgagni). In addition, the tire pressure and the pedal function should be checked more frequently	"
positive;"Very good	"
positive;"Computer services are indecent. The online portal does not meet the minimum IT security standards and the app does not allow you to use the map easily.	"
positive;"It would take more and careful maintenance of the bicycles. Check both the availability and capacity of the stations from Remote	"
positive;"Provide for larger car parks so as not to find them already full at peak times	"
positive;"Improve bike maintenance and bicinper station quantities (not to find or find the complete station and never know where to store it)	"
positive;"You need more racks in the center	"
negative;"Premise: I always use red bicycles ... sometimes the yellow ones for short journeys when the red ones are not available. The things that are not right are: 1) non-intelligent stalls: red bikes do not recharge on the stall and the stall is not able to understand if a bike is loaded or not. Often he does not pick up bikes with 4 charge LEDs and assigns bikes with 1 or 2 charge LEDs which are exhausted after a few rides. 2) there are few red bikes	"
positive;"The yellow bikes have heavy steering / handlebars, on some occasions they are not very ""balanced""	"
